memno,date,code,amount,
20,2003/9/30,A1,300,
20,2003/10/31,A1,300,
20,2003/11/29,A1,300,
20,2003/12/24,A1,300,
20,2004/1/17,A1,300,
20,2004/2/28,A1,300,
20,2004/3/31,A1,300,
20,2004/4/30,A1,300,
20,2004/6/30,A1,600,
20,2004/7/31,A1,300,
20,2004/8/31,A1,300,
20,2004/10/9,H0,25,
20,2004/11/9,H0,-25,
20,2004/12/9,C0,473.43,
20,2004/9/13,C1,-473.43,
20,2004/9/29,A1,300,
20,2004/10/30,A1,300,
20,2004/11/30,A1,300,
20,2004/12/24,A1,300,
20,2005/2/3,A3,600.28,
20,2005/3/31,A1,300,
20,2005/4/30,A1,300,
20,2005/5/31,A1,300,
20,2005/6/30,A1,300,
20,2005/7/30,A1,300,
20,2005/12/8,H0,25,
20,2005/8/13,H0,-25,
20,2005/8/14,C0,615.43,
20,2005/8/15,C1,-615.43,
20,2005/8/31,A1,300,
20,2005/9/30,A1,300,
30,1997/1/31,A1,960,
30,1997/2/28,A1,1000,
30,1997/3/27,A1,1040,
30,1997/4/30,A1,1080,
30,1997/5/31,A1,1120,
30,1997/6/27,A1,1160,
30,1997/6/30,A3,25,
30,1997/6/30,C3,3678.2,
30,1997/6/30,H3,25,
30,1997/7/31,A1,967,
30,1997/8/30,A1,650,
30,1997/9/30,A1,700,
30,1997/10/31,A1,750,
30,1997/11/29,A1,800,
30,1997/12/24,A1,850,
30,1998/1/24,A1,900,
30,1998/2/28,A1,950,
30,1998/3/31,A1,600,
30,1998/4/30,A1,650,
30,1998/5/29,A1,700,
30,1998/6/30,A1,750,
30,1998/7/20,A0,25,
30,1998/7/20,C0,4555.3,
30,1998/7/20,H0,25,
30,1998/7/31,A1,800,
30,1998/8/29,A1,850,
30,1998/9/30,A1,900,
30,1998/10/31,A1,950,
30,1998/11/28,A1,1000,
30,1998/12/24,A1,1050,
30,1999/1/30,A1,1100,
30,1999/2/27,A1,1150,
30,1999/3/31,A1,600,
30,1999/4/30,A1,650,
30,1999/5/29,A1,700,
30,1999/6/30,A1,750,
30,1999/7/19,A0,25,
30,1999/7/19,C0,5401.7,
30,1999/7/19,H0,25,
30,1999/7/31,A1,647,
30,1999/8/31,A1,650,
30,1999/9/30,A1,700,
30,1999/10/30,A1,750,
30,1999/11/30,A1,800,
30,1999/12/24,A1,850,
30,2000/1/29,A1,600,
30,2000/2/29,A1,650,
30,2000/3/31,A1,700,
30,2000/4/29,A1,750,
30,2000/5/31,A1,800,
30,2000/6/30,A1,850,
30,2000/7/29,A1,600,
30,2000/7/31,C0,6283.7,
30,2000/7/31,H0,25,
30,2000/1/8,A0,25,
30,2000/8/31,A1,650,
30,2000/9/30,A1,700,
30,2000/10/31,A1,750,
30,2000/11/30,A1,800,
30,2000/12/23,A1,850,
30,2001/1/20,A1,900,
30,2001/2/28,A1,950,
30,2001/3/31,A1,1000,
30,2001/4/28,A1,983,
30,2001/5/31,A1,650,
30,2001/6/30,A1,700,
30,2001/7/31,A1,750,
30,2001/5/8,C0,7198,
30,2001/6/8,C1,-7198,
30,2001/7/8,H0,25,
30,2001/8/8,H0,-25,
30,2001/8/31,A1,600,
30,2001/9/30,A1,600,
30,2001/10/31,A1,600,
30,2001/10/12,A3,600,
30,2001/12/22,A1,600,
30,2002/1/31,A1,600,
30,2002/2/28,A1,600,
30,2002/3/28,A1,600,
30,2002/4/30,A1,600,
30,2002/5/31,A1,600,
30,2002/6/29,A1,600,
30,2002/7/31,A1,600,
30,2002/8/31,A1,600,
30,2002/4/9,C3,6462.2,
30,2002/6/9,C1,-6462.2,
30,2002/6/9,H0,25,
30,2002/7/9,H0,-25,
30,2002/9/28,A1,600,
30,2002/10/31,A1,600,
30,2002/11/30,A1,600,
30,2002/12/24,A1,600,
30,2003/1/25,A1,600,
30,2003/2/28,A1,600,
30,2003/3/29,A1,600,
30,2003/4/30,A1,600,
30,2003/5/31,A1,600,
30,2003/6/28,A1,600,
30,2003/7/31,A1,600,
30,2003/8/25,H0,25,
30,2003/8/26,H0,-25,
30,2003/8/27,C3,6825.36,
30,2003/8/28,C1,-6825.36,
30,2003/8/30,A1,600,
30,2003/9/30,A1,600,
30,2003/10/31,A1,600,
30,2003/11/29,A1,600,
30,2003/12/24,A1,600,
30,2004/1/17,A1,600,
30,2004/2/28,A1,600,
30,2004/3/31,A1,600,
30,2004/4/30,A1,600,
30,2004/5/29,A1,600,
30,2004/6/30,A1,600,
30,2004/7/31,A1,600,
30,2004/8/31,A1,600,
30,2004/10/9,H0,25,
30,2004/11/9,H0,-25,
30,2004/12/9,C0,5748.28,
30,2004/9/13,C1,-3748.28,
30,2004/9/14,C0,-2000,
30,2004/9/29,A1,600,
30,2004/10/30,A1,600,
30,2004/11/30,A1,600,
30,2004/12/24,A1,600,
30,2005/1/29,A1,600,
30,2005/2/26,A1,600,
30,2005/3/31,A1,600,
30,2005/4/30,A1,600,
30,2005/5/31,A1,600,
30,2005/6/30,A1,600,
30,2005/7/30,A1,600,
30,2005/12/8,H0,25,
30,2005/8/13,H0,-25,
30,2005/8/14,C0,6036.28,
30,2005/8/15,C1,-6036.28,
30,2005/8/31,A1,600,
30,2005/9/30,A1,600,
44,1997/1/31,A1,300,
44,1997/2/28,A1,332.5,
44,1997/3/27,A1,385,
44,1997/4/30,A1,437.5,
44,1997/5/31,A1,490,
44,1997/6/27,A1,542.5,
44,1997/6/30,C3,8520.95,
44,1997/6/30,H3,25,
44,1997/7/31,A1,595,
44,1997/8/30,A1,647.5,
44,1997/8/30,A3,26,
44,1997/1/9,A3,26,
44,1997/9/18,A3,52,
44,1997/9/30,A1,300,
44,1997/10/31,A1,340,
44,1997/11/28,A3,300,
44,1997/11/29,A1,407,
44,1997/2/12,A3,0.05,
44,1997/12/24,A1,450,
44,1998/1/24,A1,490,
44,1998/4/14,A0,20291.38,
44,1998/4/14,B0,-97970,
44,1998/4/14,B1,-79146.38,
60,1997/1/31,A1,720,
60,1997/2/28,A1,760,
60,1997/3/27,A1,800,
60,1997/4/30,A1,840,
60,1997/5/31,A1,880,
60,1997/6/27,A1,600,
60,1997/6/30,C3,5975.3,
60,1997/6/30,H3,25,
60,1997/7/31,A1,650,
60,1997/8/30,A1,700,
60,1997/9/30,A1,750,
60,1997/10/31,A1,800,
60,1997/11/29,A1,850,
60,1997/12/24,A1,900,
60,1998/1/24,A1,600,
60,1998/2/28,A1,650,
60,1998/3/31,A1,700,
60,1998/4/30,A1,750,
60,1998/5/29,A1,800,
60,1998/6/30,A1,850,
60,1998/7/20,C0,6867.6,
60,1998/7/20,H0,25,
60,1998/7/31,A1,600,
60,1998/8/29,A1,650,
60,1998/9/30,A1,700,
